單字,翻譯
boom,(n.)隆隆聲、景氣、激增、暴漲
boom,(v.)發出隆隆聲、激增、暴漲、興旺
boost,(n.)一舉、一抬、推動、促進
boost,(v.)舉、抬、推動、促進
boot,(v.)開機
boot,(n.)(長筒)靴
booth,(n.)(有篷的)貨攤、崗亭、(餐廳等)雅座
border,(v.)毗鄰、接界
border,(n.)邊緣、邊境
bore,(n.)令人討厭的人(或事物)
bore,(v.)使厭煩
boredom,(n.)無聊、厭倦
born,(adj.)出生的、誕生的
borrow,(v.)借
bosom,(n.)胸、乳房、(衣服的)襟、胸懷
boss,(n.)老闆
boss,(v.)指揮、作威作福
botany,(n.)植物學、(總稱)一個地區的植物
both,(adv.)並、又、兩者皆
both,(adj.)兩者
bother,(n.)煩惱、麻煩、使人煩惱的人(或事物)
bother,(v.)煩擾
bottle,(n.)瓶子
bottle,(v.)把...裝入瓶中、約束、抑制(感情)、隱藏
bottom,(adj.)最低的、最後的、最下的
bottom,(n.)底部、屁股
bottom,(v.)基於、根據、到達底部、降至最低點
boulevard,(n.)林蔭大道、大馬路
bounce,(n.)彈、反彈
bounce,(v.)彈起、彈回
bound,(n.)跳躍、領域、界限
bound,(v.)與...接界、跳躍、彈回
boundary,(n.)邊界、分界線、界限
bout,(n.)(拳擊等)比賽、較量、(疾病等)發作
bow,(n.)弓
bow,(v.)鞠躬
bowel,(n.)腸、內部、深處
bowl,(n.)碗
bowling,(n.)保齡球戲
box,(n.)箱、盒、匣
box,(v.)把...裝箱(或盒等)
boxer,(n.)拳擊手、拳師、拳師狗
boxing,(n.)拳擊、拳術、裝箱
boy,(n.)男孩
boycott,(n.)聯合抵制
boycott,(v.)聯合抵制
boyhood,(n.)(男姓的)童年
bra,(n.)奶罩
brace,(v.)支撐、做好準備
brace,(n.)支柱、大括號、(牙齒)矯正器
bracelet,(n.)手鐲、臂鐲
braid,(v.)編成辮子、編成穗帶、編結
braid,(n.)髮辮、穗帶
brain,(n.)腦、智力、頭腦
brake,(v.)煞車、制動
brake,(n.)煞車
branch,(v.)出枝、分支、分岔
branch,(n.)樹枝、支部
brand,(n.)商標
brand,(v.)印...商標於
brass,(adj.)黃銅製的、黃銅色的
brass,(n.)黃銅
brassiere,(n.)胸罩
brave,(adj.)勇敢的
bravery,(n.)勇敢、勇氣
bread,(n.)麵包
breadth,(n.)寬度、幅度、寬宏
break,(n.)暫停
break,(v.)斷裂、中斷、打破（記錄）
breakdown,(n.)故障、損壞、崩潰、分析
breakfast,(v.)吃早餐、 為...供應早餐
breakfast,(n.)早餐
breakthrough,(n.)突圍、突破、突破性進展
breakup,(n.)分裂、關係破裂、解體
breast,(n.)乳房
breath,(n.)呼吸、氣息、微風
breathe,(v.)呼吸
breed,(v.)使繁殖、飼養
breed,(n.)品種
breeze,(n.)微風
breeze,(v.)吹著微風
brew,(n.)釀製飲料
brew,(v.)釀造、醞釀著
bribe,(n.)賄賂
bribe,(v.)向...行賄
brick,(n.)磚塊
bride,(n.)新娘
bridegroom,(n.)新郎
bridge,(v.)架橋於、把...連結(或彌合)起來
bridge,(n.)橋
brief,(adj.)短暫的
brief,(v.)簡報、作...的提要
brief,(n.)概要、訴書、短而緊的內褲、簡報
briefcase,(n.)公事包
bright,(adv.)明亮地、歡快地
bright,(adj.)光亮的
brilliant,(adj.)明亮的、才華橫溢的、傑出的
bring,(v.)帶來
brink,(n.)邊、邊緣
brisk,(adj.)輕快的、興旺的、寒冷而清新的
broad,(adj.)寬廣的
broadcast,(v.)廣播
broadcast,(n.)廣播、廣播節目、散佈、播種
broaden,(v.)變寬、變闊、擴大
brochure,(n.)小冊子
broil,(v.)烤、炙
broke,(adj.)一文不名的、破了產的
bronze,(n.)青銅、青銅製品、古銅色
bronze,(adj.)青銅製的、青銅色的
brooch,(n.)女用胸針(或領針)
brood,(n.)一窩孵出的雛鳥、一家的孩子們
brood,(v.)孵蛋、籠罩、沈思、沮喪
brook,(n.)小河、小溪
broom,(n.)掃帚
broth,(n.)(用肉、蔬菜等煮成的)湯
brother,(n.)兄、弟
brotherhood,(n.)兄弟關係、同志關係
brow,(n.)眉頭、眉毛
brown,(adj.)褐色的、棕色的
brown,(n.)棕色
brown,(v.)變成褐色(或棕色)
browse,(n.)瀏覽
browse,(v.)瀏覽
bruise,(n.)青腫、(水果等)碰傷、挫傷
bruise,(v.)使受瘀傷、碰傷(水果)、挫傷(感情)
brunch,(n.)早午餐
brush,(n.)刷子
brush,(v.)刷
brutal,(adj.)野蠻的、粗暴的
brute,(adj.)畜生的、畜生般的、殘忍的
brute,(n.)畜生、殘暴的人
bubble,(v.)沸騰、冒泡
bubble,(n.)水泡、氣泡
buck,(n.)雄性動物(鹿、羊或兔等)
bucket,(n.)水桶
buckle,(v.)扣住、垮掉、讓步
buckle,(n.)帶釦、搭鉤
bud,(v.)使發芽
bud,(n.)葉芽、花蕾、少女
budget,(v.)把...編入預算
budget,(n.)預算
buffalo,(n.)水牛
buffet,(n.)自助餐
bug,(n.)小蟲
bug,(v.)在...安裝竊聽器、煩擾、激怒
build,(v.)建造、蓋
building,(n.)建築物
bulb,(n.)電燈泡
bulge,(v.)膨脹、凸起、裝滿
bulge,(n.)腫脹、凸塊、增長
bulk,(n.)體積、容積、大塊、大多數
bulky,(adj.)體積大的、笨重的
bull,(n.)公牛
bullet,(n.)子彈
bulletin,(n.)公報、公告
bully,(v.)脅迫、欺侮
bully,(n.)恃強欺弱者、惡霸
bump,(n.)重擊、猛撞
bump,(v.)碰、撞
bun,(n.)小圓麵包
bunch,(n.)串、束
bundle,(n.)捆、大量
burden,(n.)重擔、負擔
burden,(v.)加重壓於
bureau,(n.)事務處
bureaucracy,(n.)官僚政治、(總稱)官僚
burger,(n.)漢堡牛肉餅
burglar,(n.)夜賊、破門盜竊者
burial,(n.)埋葬、葬禮、墓地
burn,(v.)燒、燙傷
burn,(n.)灼傷
burst,(v.)爆開、闖入
burst,(n.)爆炸、破裂、缺口
bury,(v.)埋葬、安葬
bus,(v.)用公車運送
bus,(n.)公車
bush,(n.)灌木
business,(n.)商業、事
busy,(adj.)忙碌的
busy,(v.)使忙於
but,(conj.)但是
but,(prep.)除...以外
but,(adv.)只、僅僅、才、絕對地
butcher,(n.)肉販
butcher,(v.)屠宰(牲口)
butter,(v.)塗奶油於、以花言巧語討好
butter,(n.)奶油
butterfly,(n.)蝴蝶
button,(v.)扣鈕扣
button,(n.)鈕扣
buy,(v.)買
buy,(n.)購買、便宜貨
buzz,(v.)嗡嗡叫
buzz,(n.)嗡嗡聲
by,(adv.)經過、過去、在旁邊
by,(prep.)經由
bye,(n.)次要的東西、(體育比賽中)輪空
byte,(n.)(電腦)位元組
cab,(n.)計程車、出租馬車
cabbage,(n.)包心菜
cabin,(n.)客艙
cabinet,(n.)櫥、櫃、內閣
cable,(v.)發越洋電報
cable,(n.)纜索、有線電視
cactus,(n.)仙人掌
cafeteria,(n.)自助餐館
caffeine,(n.)咖啡因
café,(n.)小餐館、咖啡廳
cage,(v.)把...關進籠子、把...囚禁起來
cage,(n.)鳥籠、獸籠
cake,(n.)蛋糕
calcium,(n.)鈣
calculate,(v.)計算
calculation,(n.)計算、估計、推測、盤算
calculator,(n.)計算機
calendar,(n.)日曆、月曆、行事曆
calf,(n.)小牛、(鯨、象等的)幼兒、小腿
call,(v.)喊、打電話
call,(n.)呼叫、請求、通話、(紙牌)叫牌、判決
calligraphy,(n.)書法、筆跡
calm,(n.)安靜、鎮定、平靜、無風
calm,(adj.)寧靜的
calm,(v.)變安靜、使鎮定
calorie,(n.)卡路里
camel,(n.)駱駝
camera,(n.)照相機
camp,(n.)營地
camp,(v.)露營
campaign,(n.)運動、活動
campaign,(v.)參加競選
campus,(n.)校園
can,(n.)罐頭
can,(v.)能、會、可能、可以、必須
can,(v.)能
canal,(n.)運河、河渠
cancel,(v.)取消
cancer,(n.)癌症
candidate,(n.)候選人、候補者
candle,(n.)蠟燭
candy,(n.)糖果
cane,(n.)藤條、手杖
cannon,(n.)大砲、榴彈砲
cannon,(v.)開砲、砲轟
cannot,(v.)不能
canoe,(n.)皮划
canoe,(v.)用獨木舟載運
canvas,(v.)用帆布覆蓋、用帆布裝備
canvas,(n.)油畫布
canyon,(n.)峽谷
cap,(v.)給...戴帽、加蓋於
cap,(n.)無邊便帽、蓋子
capability,(n.)能力、性能
capable,(adj.)有...的能力
capacity,(n.)容量、容積
cape,(n.)岬、海角
capital,(n.)首都、首府、資本
capital,(adj.)可處死刑的
capitalism,(n.)資本主義
capitalist,(n.)資本主義者
capsule,(n.)小盒、膠囊、太空艙
captain,(n.)隊長、機長、艦長
caption,(n.)標題、字幕
caption,(v.)加標題於
captive,(adj.)被俘的、被迷住的
captive,(n.)俘虜、獵獲物、著迷的人
captivity,(n.)囚禁、束縛
capture,(v.)捕獲、俘虜
capture,(n.)佔領、獲得
car,(n.)汽車
carbohydrate,(n.)碳水化合物、含醣食物
carbon,(n.)碳、複寫紙
card,(n.)卡片
cardboard,(n.)硬紙板、卡紙板
care,(n.)看護、保護、照料、管理、關懷、小心
care,(v.)關心、照顧
career,(n.)職業、生涯、歷程
carefree,(adj.)無憂無慮的、輕鬆愉快的
careful,(adj.)小心的
caress,(n.)愛撫、撫摸、寵愛
caress,(v.)愛撫、撫摸、寵愛
caretaker,(n.)照顧者、管理人
cargo,(n.)(船、飛機、車輛裝載的)貨物
carnation,(n.)康乃馨、淡紅色
carnival,(n.)狂歡節、嘉年華會
carol,(n.)(耶誕)頌歌、讚美詩
carp,(n.)鯉魚
carpenter,(n.)木工、木匠
carpet,(n.)地毯
carpet,(v.)在...上鋪地毯、斥責
carriage,(n.)運輸、運費
carrier,(n.)運送人、從事運輸業公司、帶菌者
carrot,(n.)胡蘿蔔
carry,(v.)提、搬運
cart,(v.)用運貨車裝運
cart,(n.)手推車
carton,(n.)紙盒、紙板箱
cartoon,(n.)卡通
cartoon,(v.)畫漫畫、畫草圖
carve,(v.)刻、雕刻
case,(n.)盒子、案件
case,(v.)把...裝入箱(或容器)中
cash,(n.)現款
cash,(v.)兌現
cashier,(n.)出納員
cassette,(n.)卡式磁帶
cast,(n.)鑄型、模子、投、擲、拋
cast,(v.)投、擲、 選派...扮演角色
castle,(n.)城堡
casual,(adj.)非正式的、隨便的
casualty,(n.)傷亡人員
cat,(n.)貓
catalog,(n.)目錄
catalog,(v.)將...編入目錄
catalogue,(n.)目錄、大學概況一覽、登記、記載
catalogue,(v.)為...編目、登記、記載
catastrophe,(n.)大災難、慘敗
catch,(n.)抓住、捕捉、接球、把手、圈套
catch,(v.)接(球)、捕獲
category,(n.)種類、類別
cater,(v.)承辦宴席、迎合
caterpillar,(n.)履帶牽引車
cathedral,(n.)大教堂
catsup,(n.)果醬、番茄醬
cattle,(n.)牛、牲口、家畜
cause,(n.)原因、理由
cause,(v.)導致、使發生、引起
caution,(v.)警告、使小心
caution,(n.)小心、謹慎、警告
cautious,(adj.)十分小心的、謹慎的
cavalry,(n.)騎兵、騎兵部隊
cave,(v.)塌落、倒坍
cave,(n.)洞穴、洞窟
cavity,(n.)洞、(身體的)腔、(牙的)蛀洞
cease,(v.)停止、終止
cease,(n.)停息
ceiling,(n.)天花板
celebrate,(v.)慶祝
celebration,(n.)慶祝
celebrity,(n.)名人、名流
celery,(n.)芹菜
cell,(n.)單人牢房、細胞、蜂房的巢室、電池
cell-phone,(n.)手機、大哥大
cellar,(n.)地下室、地窖、酒窖
cellar,(v.)把...藏入地窖(或酒窖)
cello,(n.)大提琴
cellphone,(n.)手機、大哥大
cellular phone,(n.)手機、大哥大
cement,(v.)黏緊、黏牢
cement,(n.)水泥
cemetery,(n.)公墓、墓地
cent,(n.)分(錢幣)
center,(n.)中心(點)
center,(v.)集中、居中
centigrade,(adj.)攝氏的
centimeter,(n.)公分
central,(adj.)中央的
century,(n.)一世紀
ceramic,(adj.)陶器的、製陶藝術的
ceramics,(n.)(當單數用)製陶業
cereal,(n.)麥片
ceremony,(n.)儀式、典禮
certain,(adj.)肯定的
certainty,(n.)確實、必然
certificate,(n.)證明書、執照
certificate,(v.)發證書給、用證書批准
certify,(v.)證明、保證、發證書(或執照等)
chain,(n.)鏈條、項圈
chain,(v.)拘禁、束縛
chair,(v.)主持(會議)、任(會議的)主席
chair,(n.)椅子
chairman,(n.)主席
chairperson,(n.)主席(沒有性別歧視的字眼)
chairwoman,(n.)女主席、女議長
chalk,(n.)粉筆
chalk,(v.)使變白、畫出...的草圖、規劃、記下
challenge,(n.)挑戰、艱鉅的事
challenge,(v.)對...提出異議
chamber,(n.)室、房間、議院
champagne,(n.)香檳酒、香檳酒色
champion,(n.)優勝者、冠軍
championship,(n.)冠軍的地位
chance,(v.)冒...的險、賭(錢)、 碰巧
chance,(n.)機會
change,(n.)零錢
change,(v.)改變、更改
changeable,(adj.)易變的、不定的
channel,(v.)在...開水道、傳送
channel,(n.)管道、頻道
chant,(v.)反覆地唱(或說)、吟誦
chant,(n.)詠唱、吟誦、單調的語調
chaos,(n.)混亂、雜亂的一團
chapter,(n.)(書籍的)章、回
character,(n.)特性、角色、(中文)字
characteristic,(n.)特性、特徵
characteristic,(adj.)特有的、獨特的
characterize,(v.)描繪...的特性、具有...的特徵
charcoal,(n.)木炭、炭筆、深灰色
charge,(v.)索價、充電
charge,(n.)費用、充電
chariot,(v.)駕馭(戰車或馬車)
chariot,(n.)(古代的)雙輪戰車
charitable,(adj.)慈善的、寬容的
charity,(n.)施捨、善舉
charm,(n.)魅力
charm,(v.)使陶醉
chart,(n.)圖表
chart,(v.)繪製...的圖表、詳細計劃
chase,(v.)追
chase,(n.)追逐、追擊
chat,(n.)閒談、聊天
chat,(v.)閒談、聊天
chatter,(n.)嘮叨、饒舌、吱吱聲
chatter,(v.)喋喋不休、吱吱叫
cheap,(adv.)便宜地、卑鄙地
cheap,(adj.)便宜的
cheat,(v.)欺騙、作弊
cheat,(n.)騙子、欺詐、欺騙、作弊
check,(v.)檢查
check,(n.)支票、買單
check-in,(n.)辦理投宿(或登機)手續、報到
check-out,(n.)檢查、調查、付款退租、下班離開
checkbook,(n.)支票簿
checkup,(n.)檢查、體檢
cheek,(n.)臉頰、腮幫子
cheer,(v.)向...歡呼
cheer,(n.)喝采、鼓勵
cheerful,(adj.)使人感到愉快的
cheese,(n.)起司、乳酪
chef,(n.)(餐館等的)主廚、大師傅
chemical,(adj.)化學的
chemical,(n.)化學製品、化學藥品
chemist,(n.)化學家
chemistry,(n.)化學
cherish,(v.)撫育、愛護
cherry,(adj.)櫻桃口味的、、鮮紅色的
cherry,(n.)櫻桃
chess,(n.)西洋棋
chest,(n.)胸、箱子、盒子
chestnut,(n.)栗子、栗樹、栗色
chestnut,(adj.)栗色的
chew,(n.)咀嚼
chew,(v.)咀嚼
chick,(n.)小雞
chicken,(n.)雞、雞肉
chief,(n.)首領、長官
chief,(adj.)為首的、主要的
child,(n.)小孩
childhood,(n.)幼時
childish,(adj.)幼稚的
childlike,(adj.)天真爛漫的
chili,(n.)紅番椒
chill,(adj.)涼颼颼的
chill,(n.)寒冷、寒氣
chill,(v.)使變冷、使打寒顫、使掃興、使沮喪
chilly,(adj.)冷颼颼的
chimney,(n.)煙囪
chimpanzee,(n.)黑猩猩
chin,(n.)下巴
chip,(v.)削、鑿、鏟
chip,(n.)晶片、屑片、炸洋芋片、籌碼
chirp,(n.)啁啾聲、唧唧聲
chirp,(v.)鳥發啾聲、蟲發唧聲、人嘁喳說話
chocolate,(n.)巧克力
choice,(n.)選擇
choice,(adj.)上等的、精選的、挑三揀四的
choir,(n.)(教堂的)唱詩班、合唱團
choke,(n.)窒息、噎
choke,(v.)使窒息、哽住
cholesterol,(n.)膽固醇
choose,(v.)選擇、挑選
chop,(n.)肋骨肉
chop,(v.)砍、劈、斬
chopstick,(n.)筷子
chord,(n.)(樂器的)弦、心弦、弦桿、和音
chore,(n.)家庭雜務
chorus,(n.)合唱隊
chronic,(adj.)(病)慢性的、(人)久病的、長期的
chubby,(adj.)圓胖的
chuckle,(n.)咯咯聲、輕笑聲
chuckle,(v.)咯咯地笑、暗自發笑
chunk,(n.)(肉、木材等的)大塊、厚片
church,(n.)教堂
cigar,(n.)雪茄煙
cigarette,(n.)香煙、紙煙
cinema,(n.)電影院、電影、電影業
circle,(v.)畫圓圈、圈出、盤旋、流傳
circle,(n.)圓圈、集團
circuit,(n.)環道、一圈、巡迴路線、電路
circular,(adj.)圓形的、環形的
circulate,(v.)流通、發行
circulation,(n.)發行量
circumstance,(n.)境況、境遇
circus,(n.)馬戲團
cite,(v.)引用、舉出、表揚
citizen,(n.)市民、公民
city,(n.)都市
civic,(adj.)城市的、市民的
civil,(adj.)市民的、國民的
civilian,(adj.)百姓的、民用的
civilian,(n.)平民、百姓
civilization,(n.)文明
civilize,(v.)使文明、使開化
claim,(v.)聲稱
claim,(n.)主張、斷言
clam,(n.)蛤、蚌、守口如瓶的人
clamp,(v.)鉗緊、夾住、強行實施、取締
clamp,(n.)螺絲鉗、鐵箍
clan,(n.)氏族、部落、家族
clap,(v.)拍(手)、鼓(掌)
clap,(n.)拍手喝采(聲)、霹靂聲、輕拍
clarify,(v.)澄清、闡明
clarity,(n.)(思想、文體等的)清楚、明晰
clash,(v.)砰地相碰撞
clash,(n.)碰撞聲、鏗鏘聲
clasp,(n.)扣子、鉤子、夾子、緊握、緊抱
clasp,(v.)扣住、鉤住、緊抱、緊握
class,(n.)階級、班級、上課
class,(v.)把...分類、把...分等級
classic,(adj.)典型的、古典的
classic,(n.)古典著作
classical,(adj.)古典的
classification,(n.)分類、分級
classify,(v.)將...分類
clause,(n.)(文件的)條款、子句
claw,(v.)用爪子抓
claw,(n.)(動物的)爪、腳爪、(蟹、蝦等的)鉗、螯
clay,(n.)黏土
clean,(n.)打掃、去垢
clean,(adv.)完全地、全然地、乾淨地
clean,(v.)打掃
clean,(adj.)乾淨的
cleaner,(n.)清潔工、乾洗店、吸塵器、清潔劑
cleanse,(v.)清洗、淨化
clear,(adj.)清楚的、晴朗的
clear,(v.)使乾淨、收拾、交換票據
clear,(adv.)清晰地、明瞭地
clearance,(n.)清掃、出空、清倉大拍賣
clench,(v.)緊握、緊咬
clench,(n.)緊握、緊咬
clerk,(n.)店員、辦事員、職員
clever,(adj.)聰明伶俐的
click,(v.)發出卡嗒(或喀嚓)聲
click,(n.)卡嗒聲
client,(n.)顧客、客戶
cliff,(n.)懸崖、峭壁
climate,(n.)氣候
climax,(v.)使達到頂點(或高潮)
climax,(n.)頂點、最高點
climb,(v.)爬、攀登
climb,(n.)攀登、攀爬
cling,(v.)黏著、依附、墨守
clinic,(n.)診所、門診所
clinical,(adj.)臨床的、診所的
clip,(v.)剪、修剪、剪短、剪除
clip,(n.)夾、鉗、迴紋針
clock,(n.)鐘
clockwise,(adj.)順時針方向的、右旋的
clockwise,(adv.)順時針方向地、右旋地
clone,(n.)無性繁殖系、複製品
clone,(v.)複製
close,(adj.)近的、密切的
close,(adv.)接近、靠近地、緊密地、緊緊地
close,(v.)關上
close,(n.)結束、終止、(金融)收盤價
closet,(n.)壁櫥、衣櫥
closure,(n.)關閉、打烊、結束、終止
cloth,(n.)布、(棉、毛、合成纖維等)織物、衣料
clothe,(v.)給...穿衣、為...提供衣服
clothes,(n.)衣服
clothing,(n.)(總稱)衣服、衣著
cloud,(v.)陰雲密佈、變暗、變模糊、變混濁
cloud,(n.)雲
cloudy,(adj.)多雲的、陰天的
clover,(n.)苜蓿
clown,(n.)小丑、丑角
clown,(v.)開玩笑、裝傻
club,(v.)募集、捐獻、集資、聯合起來
club,(n.)俱樂部、夜總會、社團
clue,(n.)線索、跡象、提示
clumsy,(adj.)笨拙的
cluster,(v.)使成簇(或群)、叢生
cluster,(n.)串、簇、群
clutch,(n.)爪子、手、掌握、攫取、離合器
clutch,(v.)抓住、攫取
coach,(v.)訓練、指導、輔導、乘馬車旅行
coach,(n.)教練
coal,(n.)煤
coarse,(adj.)粗的、粗糙的
coast,(n.)海岸
coastline,(n.)海岸線
coat,(v.)塗在...上、給...穿上外套
coat,(n.)外套
cock,(n.)公雞
cockroach,(n.)蟑螂
cocktail,(n.)雞尾酒
cocoa,(n.)可可粉、可可樹、可可色
coconut,(n.)椰子、椰子肉
cocoon,(v.)緊緊包住、使(自己)孤立
cocoon,(n.)繭
code,(n.)法規、代碼、電碼
code,(v.)為...編碼
coffee,(n.)咖啡
coffin,(n.)棺材、靈柩
coherent,(adj.)一致的、條理清楚的、連貫的
coil,(n.)(一)捲、(一)圈、(一)匝、線圈
coil,(v.)捲、盤繞、捲成圈
coin,(n.)硬幣
coin,(v.)鑄造(貨幣)、創造、杜撰(新詞等)
coincide,(v.)同時發生、巧合、一致
